Particle 1 Position,Particle 2 Position,Eigenvector Squared
1.010101010101010050e-14,9.494949494949495452e-13,4.060255104355387592e-06
1.010101010101010050e-14,9.595959595959594706e-13,2.889729874652656034e-06
1.010101010101010050e-14,9.696969696969695979e-13,1.887200567422360224e-06
1.010101010101010050e-14,9.797979797979797252e-13,1.078486248014852100e-06
1.010101010101010050e-14,9.898989898989898526e-13,4.848150546658239872e-07
1.010101010101010050e-14,9.999999999999999799e-13,1.220407370883654942e-07
2.020202020202020101e-14,0.000000000000000000e+00,4.032876837092453092e-18
2.020202020202020101e-14,1.010101010101010050e-14,8.007690040479176725e-18
2.020202020202020101e-14,2.020202020202020101e-14,4.084330244820505858e-18
2.020202020202020101e-14,3.030303030303029993e-14,6.733216366933806668e-17
2.020202020202020101e-14,4.040404040404040202e-14,5.044593595630965207e-16
2.020202020202020101e-14,5.050505050505050410e-14,2.500971987567214625e-15
2.020202020202020101e-14,6.060606060606059987e-14,9.650362486949192108e-15
2.020202020202020101e-14,7.070707070707070195e-14,3.138507605978118172e-14
2.020202020202020101e-14,8.080808080808080403e-14,9.001272968854893026e-14
2.020202020202020101e-14,9.090909090909090611e-14,2.342259629106746202e-13
2.020202020202020101e-14,1.010101010101010082e-13,5.636939654266351435e-13
2.020202020202020101e-14,1.111111111111111103e-13,1.271873189210770999e-12
2.020202020202020101e-14,1.212121212121211997e-13,2.717744147136493845e-12
2.020202020202020101e-14,1.313131313131313018e-13,5.542081821566754548e-12
2.020202020202020101e-14,1.414141414141414039e-13,1.085042593185541555e-11
2.020202020202020101e-14,1.515151515151515060e-13,2.049348527307263509e-11
2.020202020202020101e-14,1.616161616161616081e-13,3.748664507278617468e-11
2.020202020202020101e-14,1.717171717171717101e-13,6.662388666475469650e-11
2.020202020202020101e-14,1.818181818181818122e-13,1.153580607879714576e-10
2.020202020202020101e-14,1.919191919191919143e-13,1.950392712433607547e-10
2.020202020202020101e-14,2.020202020202020164e-13,3.226261706390350225e-10
2.020202020202020101e-14,2.121212121212121185e-13,5.230110890485381188e-10
2.020202020202020101e-14,2.222222222222222206e-13,8.321286881366635418e-10
2.020202020202020101e-14,2.323232323232323226e-13,1.301048508243071843e-09
2.020202020202020101e-14,2.424242424242423995e-13,2.001283209858542571e-09
2.020202020202020101e-14,2.525252525252525268e-13,3.031574913710604697e-09
2.020202020202020101e-14,2.626262626262626036e-13,4.526449732124184153e-09
2.020202020202020101e-14,2.727272727272727310e-13,6.666852760673553610e-09
2.020202020202020101e-14,2.828282828282828078e-13,9.693189353786099449e-09
2.020202020202020101e-14,2.929292929292929351e-13,1.392109985669177596e-08
2.020202020202020101e-14,3.030303030303030120e-13,1.976028012843622735e-08
2.020202020202020101e-14,3.131313131313131393e-13,2.773662491599685251e-08
2.020202020202020101e-14,3.232323232323232161e-13,3.851791107904646059e-08
2.020202020202020101e-14,3.333333333333332930e-13,5.294314860567131313e-08
2.020202020202020101e-14,3.434343434343434203e-13,7.205560551006979747e-08
2.020202020202020101e-14,3.535353535353534971e-13,9.713935499693376505e-08
2.020202020202020101e-14,3.636363636363636245e-13,1.297589977917077791e-07
2.020202020202020101e-14,3.737373737373737013e-13,1.718019788059569497e-07
2.020202020202020101e-14,3.838383838383838286e-13,2.255226468303297356e-07
2.020202020202020101e-14,3.939393939393939055e-13,2.935869024502575244e-07
2.020202020202020101e-14,4.040404040404040328e-13,3.791159492613184440e-07
2.020202020202020101e-14,4.141414141414141096e-13,4.857273160260861271e-07
2.020202020202020101e-14,4.242424242424242370e-13,6.175709650201327526e-07
2.020202020202020101e-14,4.343434343434343138e-13,7.793579599644107165e-07
2.020202020202020101e-14,4.444444444444444411e-13,9.763788541139935193e-07
2.020202020202020101e-14,4.545454545454545180e-13,1.214508696406476469e-06
2.020202020202020101e-14,4.646464646464646453e-13,1.500195364412998830e-06
2.020202020202020101e-14,4.747474747474747726e-13,1.840427841775077578e-06
2.020202020202020101e-14,4.848484848484847990e-13,2.242681090062017581e-06
2.020202020202020101e-14,4.949494949494949263e-13,2.714834344738517333e-06
2.020202020202020101e-14,5.050505050505050536e-13,3.265060014438135296e-06
2.020202020202020101e-14,5.151515151515150800e-13,3.901680900316100007e-06
2.020202020202020101e-14,5.252525252525252073e-13,4.632994191078374416e-06
2.020202020202020101e-14,5.353535353535353346e-13,5.467061635453546745e-06
2.020202020202020101e-14,5.454545454545454619e-13,6.411466444875984721e-06
2.020202020202020101e-14,5.555555555555554883e-13,7.473038822628685504e-06
2.020202020202020101e-14,5.656565656565656156e-13,8.657553527944441312e-06
2.020202020202020101e-14,5.757575757575757429e-13,9.969404529207727650e-06
2.020202020202020101e-14,5.858585858585858703e-13,1.141126353143640691e-05
2.020202020202020101e-14,5.959595959595958966e-13,1.298373092008751737e-05
2.020202020202020101e-14,6.060606060606060239e-13,1.468498937487778766e-05
2.020202020202020101e-14,6.161616161616161513e-13,1.651047199345482798e-05
2.020202020202020101e-14,6.262626262626262786e-13,1.845255813781409207e-05
2.020202020202020101e-14,6.363636363636363049e-13,2.050031128459429600e-05
2.020202020202020101e-14,6.464646464646464323e-13,2.263927383184455354e-05
2.020202020202020101e-14,6.565656565656565596e-13,2.485133400106158308e-05
2.020202020202020101e-14,6.666666666666665859e-13,2.711467959478661925e-05
2.020202020202020101e-14,6.767676767676767133e-13,2.940385236049167616e-05
2.020202020202020101e-14,6.868686868686868406e-13,3.168991502344181027e-05
2.020202020202020101e-14,6.969696969696969679e-13,3.394074066038205574e-05
2.020202020202020101e-14,7.070707070707069943e-13,3.612143099557707271e-05
2.020202020202020101e-14,7.171717171717171216e-13,3.819486644599593810e-05
2.020202020202020101e-14,7.272727272727272489e-13,4.012238639107525639e-05
2.020202020202020101e-14,7.373737373737373762e-13,4.186459329855141235e-05
2.020202020202020101e-14,7.474747474747474026e-13,4.338226913881230984e-05
2.020202020202020101e-14,7.575757575757575299e-13,4.463738713685643297e-05
2.020202020202020101e-14,7.676767676767676572e-13,4.559419654288211196e-05
2.020202020202020101e-14,7.777777777777777846e-13,4.622035297172740929e-05
2.020202020202020101e-14,7.878787878787878109e-13,4.648806220652154273e-05
2.020202020202020101e-14,7.979797979797979382e-13,4.637520142737895624e-05
2.020202020202020101e-14,8.080808080808080656e-13,4.586637885283729641e-05
2.020202020202020101e-14,8.181818181818180919e-13,4.495389099583537487e-05
2.020202020202020101e-14,8.282828282828282193e-13,4.363853633583358551e-05
2.020202020202020101e-14,8.383838383838383466e-13,4.193024535407605216e-05
2.020202020202020101e-14,8.484848484848484739e-13,3.984848967925552028e-05
2.020202020202020101e-14,8.585858585858585003e-13,3.742243759486662820e-05
2.020202020202020101e-14,8.686868686868686276e-13,3.469082934754068380e-05
2.020202020202020101e-14,8.787878787878787549e-13,3.170155347345715634e-05
2.020202020202020101e-14,8.888888888888888822e-13,2.851091455527647031e-05
2.020202020202020101e-14,8.989898989898989086e-13,2.518259318636783056e-05
2.020202020202020101e-14,9.090909090909090359e-13,2.178631013044080294e-05
2.020202020202020101e-14,9.191919191919191632e-13,1.839621833607780566e-05
2.020202020202020101e-14,9.292929292929292906e-13,1.508905815761904114e-05
2.020202020202020101e-14,9.393939393939394179e-13,1.194212236803350715e-05
2.020202020202020101e-14,9.494949494949495452e-13,9.031087829623874095e-06
2.020202020202020101e-14,9.595959595959594706e-13,6.427779519045342129e-06
2.020202020202020101e-14,9.696969696969695979e-13,4.197939514980813383e-06
2.020202020202020101e-14,9.797979797979797252e-13,2.399078129141842234e-06
2.020202020202020101e-14,9.898989898989898526e-13,1.078486248013988762e-06
2.020202020202020101e-14,9.999999999999999799e-13,2.714869056861706973e-07
3.030303030303029993e-14,0.000000000000000000e+00,2.727906971323655698e-17
3.030303030303029993e-14,1.010101010101010050e-14,7.011715625443216590e-17
3.030303030303029993e-14,2.020202020202020101e-14,6.733217217805611954e-17
